wav-03|and so what that would be able to do is actually the steam engines|and so what that would be able to do is actually the steam engines
wav-89|there is a doubling in capacity on compute now it's about software and you've got a guy who|there is a doubling in capacity on compute now it's about software and you've got a guy who
wav-92|a girl who doesn't need to go to who can just go online because of the democratization of technology learn a skill in coding|a girl who doesn't need to go to who can just go online because of the democratization of technology learn a skill in coding
wav-98|and you look at a place like Bangalore. Bangalore has about 4.|and you look at a place like Bangalore. Bangalore has about 4.
wav-101|1 million people employed in their i.t industry and their their IT exports are about 53 billion dollars|1 million people employed in their i.t industry and their their IT exports are about 53 billion dollars
wav-109|because of software. About 90 percent of the startups in India are coming out of there|because of software. About 90 percent of the startups in India are coming out of there
wav-111|we had about 15000 uh known people who graduated in in kenya out of colleges and universities|we had about 15000 uh known people who graduated in in kenya out of colleges and universities
wav-125|if we talk about software I think it's building stuff. It's sometimes as basic|if we talk about software I think it's building stuff. It's sometimes as basic
wav-128|uhm at the core of it is code though right now we're also talking about low code no code|uhm at the core of it is code though right now we're also talking about low code no code
wav-135|anybody else in this room i'm not pointing fingers can even say they're a software developer without knowing how to code so so it's it's actually and across the globe you look at silicon valley uh you|anybody else in this room i'm not pointing fingers can even say they're a software developer without knowing how to code so so it's it's actually and across the globe you look at silicon valley uh you
wav-136|say they're a software developer without knowing how to code so so it's it's actually and across the globe you look at silicon valley uh you|say they're a software developer without knowing how to code so so it's it's actually and across the globe you look at silicon valley uh you
wav-137|uh you look at what's happening in east europe west europe across the globe you have these tech hubs coming up but at the heart of it really|uh you look at what's happening in east europe west europe across the globe you have these tech hubs coming up but at the heart of it really
wav-144|so what we're finding we're probably and specifically my my my division it's probably the the biggest employer of|so what we're finding we're probably and specifically my my my division it's probably the the biggest employer of
wav-147|and specifically my my my division it's probably the the biggest employer of|and specifically my my my division it's probably the the biggest employer of
wav-148|of this skill set in the country uh so so IT team safaricom were about|of this skill set in the country uh so so IT team safaricom were about
wav-151|close to 800 of which 5 600 actually software developers|close to 800 of which 5 600 actually software developers
wav-155|and so we're always recruiting and onboarding one of the conversations we've been having and i've been to about three four universities this year|and so we're always recruiting and onboarding one of the conversations we've been having and i've been to about three four universities this year
wav-159|is are you training and equipping these graduates to be ready to enter the job market|is are you training and equipping these graduates to be ready to enter the job market
wav-163|and the answer currently to that is you can't say a hundred percent|and the answer currently to that is you can't say a hundred percent
wav-166|so sometimes your the amount of time it then takes us to get that grad|so sometimes your the amount of time it then takes us to get that grad
wav-170|ready to build software for an organization takes a bit of time|ready to build software for an organization takes a bit of time
wav-174|so recent last week specifically we launched the the|so recent last week specifically we launched the the
wav-177|uh industry talent program and what we're saying we came together with|uh industry talent program and what we're saying we came together with
wav-180|with about 30 organizations including a standard group and we said we're going to|with about 30 organizations including a standard group and we said we're going to
wav-185|each year get about a thousand people into industry attachments|each year get about a thousand people into industry attachments
wav-190|and what we want them is to get that critical experience so that when they hit the market place|and what we want them is to get that critical experience so that when they hit the market place
wav-193|place not just necessarily to work for us but even to create jobs there's we bridge that gap|place not just necessarily to work for us but even to create jobs there's we bridge that gap
wav-198|I was happy that also we had universities there and several of them made statements that they are willing to revisit their curriculum|I was happy that also we had universities there and several of them made statements that they are willing to revisit their curriculum
wav-202|so that it is relevant for the current challenges of today we're talking about skills in|so that it is relevant for the current challenges of today we're talking about skills in
wav-206|uh i would say ux ui let me break it down user experience and user interface development that's what you see |uh i would say ux ui let me break it down user experience and user interface development that's what you see
wav-209|when you launch an app right and you go through the steps what's our experience we say most of the times you should be able to get where what you're doing within three steps|when you launch an app right and you go through the steps what's our experience we say most of the times you should be able to get where what you're doing within three steps
wav-213|you're looking at what we call so that's a lot more on the front end development|you're looking at what we call so that's a lot more on the front end development
wav-217|there's the back end that you don't see everything that's happening behind the scenes then there's the data science big data|there's the back end that you don't see everything that's happening behind the scenes then there's the data science big data
wav-222|machine learning artificial intelligence integration engineers|machine learning artificial intelligence integration engineers
wav-225|so we came up with about nine areas that robotics process automation cyber security|so we came up with about nine areas that robotics process automation cyber security
wav-228|areas that we want to take them through a program a formal program part of it is learning uh|areas that we want to take them through a program a formal program part of it is learning uh
wav-233|formal training and part of it is learning on the job at safaricom we've committed 200 of these|formal training and part of it is learning on the job at safaricom we've committed 200 of these
wav-236|of which 100 are going to then be absorbed very likely into the IT team in safaricom|of which 100 are going to then be absorbed very likely into the IT team in safaricom
wav-242|and financial services so that's the big thing we need to do now if we talk about the war|and financial services so that's the big thing we need to do now if we talk about the war
wav-245|because that's the so you got the big tech people have come it's no secret you have microsoft in town|because that's the so you got the big tech people have come it's no secret you have microsoft in town
wav-249|and you know it's in recognition also that we do have great talent here and so they've set up their development hub and and from the answer to say we're going to hire 500|and you know it's in recognition also that we do have great talent here and so they've set up their development hub and and from the answer to say we're going to hire 500
wav-254|people. Now the easiest place to get good developers in kenya|people. Now the easiest place to get good developers in kenya
wav-258|is safaricom because we've we've been taking our teams through a digital talent program where we even get people from our contact center|is safaricom because we've we've been taking our teams through a digital talent program where we even get people from our contact center
wav-263|network engineering and other engineering functions re-skilled of our six-month program|network engineering and other engineering functions re-skilled of our six-month program
wav-270|we've trained equipped and as life would be they've then gone on to work for companies like|we've trained equipped and as life would be they've then gone on to work for companies like
wav-273|uh aws amazon and google as well microsoft. So where's the war?|aws amazon and google as well microsoft. So where's the war?
wav-277|so we're producing and kind of training people from the grassroots and somebody else comes into town and begins to offer them|so we're producing and kind of training people from the grassroots and somebody else comes into town and begins to offer them
wav-280|I think a good point our partners like for example moringa school and strathmore are doing it so it's not an area we've entered but we've entered partnerships with people who are doing the training|I think a good point our partners like for example moringa school and strathmore are doing it so it's not an area we've entered but we've entered partnerships with people who are doing the training
wav-281|I think a good point our partners like for example moringa school and strathmore are doing it so it's not an area we've entered but we've entered|I think a good point our partners like for example moringa school and strathmore are doing it so it's not an area we've entered but we've entered
wav-284|And more often than not for our own staff they go through those joint programs we run with them|And more often than not for our own staff they go through those joint programs we run with them
wav-289|but they are but through this uh program we've just launched we want to strengthen that a lot more |but they are but through this uh program we've just launched we want to strengthen that a lot more
wav-292|and say it's not just safaricom financial institutions. I was happy to see standard group there and|and say it's not just safaricom financial institutions. I was happy to see standard group there and
wav-296|and hear your CEO talk about uh the capabilities they've built that have even been bought by|and hear your CEO talk about uh the capabilities they've built that have even been bought by
wav-302|So we actually are realizing this is happening across and let's not just do it for safaricom|So we actually are realizing this is happening across and let's not just do it for safaricom
wav-305|but create a much wider pool so that the war is not per sethe war|but create a much wider pool so that the war is not per se the war
wav-308|is not between getting people from our places or the banks and we are rotating|is not between getting people from our places or the banks and we are rotating
wav-311|we actually uh make the pool a lot broader so that even if a number of guys uh girls leave|we actually uh make the pool a lot broader so that even if a number of guys uh girls leave
wav-317|you're actually able to fill that gap much quicker so. We're starting with a thousand as our commitment for year one but|you're actually able to fill that gap much quicker so. We're starting with a thousand as our commitment for year one but
wav-325|maybe we can even be saying five thousand. So good question so luckily also as part of the launch we also had microsoft there and the and the amd of the development center uh|maybe we can even be saying five thousand. So good question so luckily also as part of the launch we also had microsoft there and the and the amd of the development center uh
wav-328|Catherine Muraga was one of our speakers as well so we're saying we're also going to work with big tech|Catherine Muraga was one of our speakers as well so we're saying we're also going to work with big tech
wav-331|getting on board Google AWS Huawei and the likes|getting on board Google AWS Huawei and the likes
wav-336|But you ask a fundamental question i strongly believe that and i've said this|But you ask a fundamental question i strongly believe that and i've said this
wav-338|publicly that the solutions in any community are best solved by the people in that|publicly that the solutions in any community are best solved by the people in that
wav-341|community. So if you're experiencing something in some|community. So if you're experiencing something in some
wav-347|where it bites the most where it hurts. And you can come up. And most innovation that comes from|where it bites the most where it hurts. And you can come up. And most innovation that comes from
wav-354|The person who's developed the solution understands the challenges. Then|The person who's developed the solution understands the challenges. Then
wav-358|What do we then do? I think it's working together with industry stakeholders to bring that technology and opportunity|What do we then do? I think it's working together with industry stakeholders to bring that technology and opportunity
wav-361|as close to the grassroots as possible. So you have people creatingbuilding things|as close to the grassroots as possible. So you have people creatingbuilding things
wav-365|monetizing uh think about uh a lady who is making some uh some very nice kangas|monetizing uh think about uh a lady who is making some uh some very nice kangas
wav-370|in some part of Kenya or someone who's making some things out of soapstone can they make them take some pictures put them on the web|in some part of Kenya or someone who's making some things out of soapstone can they make them take some pictures put them on the web
wav-377|be it some of the issues that we're facing on uh in terms of uh lack of uh|be it some of the issues that we're facing on uh in terms of uh lack of uh
wav-381|be it rain or anything what solutions can people build in terms of irrigation in terms of harvesting water|be it rain or anything what solutions can people build in terms of irrigation in terms of harvesting water
wav-388|Solution uh I was uh in a hackathon. You invite uh software developers in a in an area.|Solution uh I was uh in a hackathon. You invite uh software developers in a in an area.
wav-392|You give them a challenge and they develop solutions and they win a prize|You give them a challenge and they develop solutions and they win a prize
wav-396|so and we've used these at times to come up with new solutions that we launched in the market|so and we've used these at times to come up with new solutions that we launched in the market
wav-397|so and we've used these at times to come up with new solutions that we launched in the market|so and we've used these at times to come up with new solutions that we launched in the market
wav-398|we've used them to identify talent and i'm quite happy that|we've used them to identify talent and i'm quite happy that
wav-402|both within Kenya and Africa our our teams have|both within Kenya and Africa our our teams have
wav-405|more often than not come out the winners if not number one number two|more often than not come out the winners if not number one number two
wav-409|and so one of the one of the things that we we picked I was in this area|and so one of the one of the things that we we picked I was in this area
wav-412|one of the winning solutions was uh they built an app where somebody can|one of the winning solutions was uh they built an app where somebody can
wav-420|I'd never seen this in a hackathon but when I dug deeper and were talking with the county officials|I'd never seen this in a hackathon but when I dug deeper and were talking with the county officials
wav-422|they said this is actually one of the biggest problems we have in our county and|they said this is actually one of the biggest problems we have in our county and
wav-427|it takes so long for somebody to get assistance and so they were linking this up|it takes so long for somebody to get assistance and so they were linking this up
wav-431|with  an uh a call to an ambulance company and you know.I'm not certain if it ever went to|with  an uh a call to an ambulance company and you know.I'm not certain if it ever went to
wav-435|to  fruition but it's one of the things that that specific county said they take now|to  fruition but it's one of the things that that specific county said they take now
wav-438|If you're seated at a central place in nairobi you would not know or expect|If you're seated at a central place in nairobi you would not know or expect
wav-442|that that would be the leading idea but when the judges looked at it and we looked at the numbers|that that would be the leading idea but when the judges looked at it and we looked at the numbers
wav-446|and the business case that they made that was actually a very big winning idea. So to your point I would rather|and the business case that they made that was actually a very big winning idea. So to your point I would rather
wav-450|that we are building solutions that are solving uh the big big problems with it that we have|that we are building solutions that are solving uh the big big problems with it that we have
wav-454|within Kenya but also able to export them to other markets as well because in Africa I think we also stitched together in some way and when I travel|within Kenya but also able to export them to other markets as well because in Africa I think we also stitched together in some way and when I travel
wav-461|and and I often hear you give a lot of proverbs I I was|and and I often hear you give a lot of proverbs I I was
wav-464|You know we are significantly net importer of tech|You know we are significantly net importer of tech
wav-468|I'm so I mean when I look at India and you know we can talk about the usa and I don't want to use examples of silicon valley and all that|I'm so I mean when I look at india and you know we can talk about the usa and I don't want to use examples of silicon valley and all that
wav-472|but just look at India I mean India is a net exporter of technology|but just look at India I mean india is a net exporter of technology
wav-477|and not only has it exported technology they've produced the ceo of Microsoft now|and not only has it exported technology they've produced the ceo of Microsoft now
wav-480|the CEO of Google. Of the technology industry globally the top companies|the CEO of Google. Of the technology industry globally the top companies
wav-483|having indian CEOs. But it really started by them believing in themselves|having indian CEOs. But it really started by them believing in themselves
wav-489|it's extremely difficult a lot of companies have told me the big tech to go to india to sell a solution|it's extremely difficult a lot of companies have told me the big tech to go to india to sell a solution
wav-492|unlike here where many times people want to fast open doors for the big international players|unlike here where many times people want to fast open doors for the big international players
wav-497|and we begin to build locally what we did in when I joined safaricom about three years ago|and we begin to build locally what we did in when I joined safaricom about three years ago
wav-501|The safaricom app was being done by an external vendor and we were having lots of issues and|The safaricom app was being done by an external vendor and we were having lots of issues and
wav-505|uh as an IT guy ha and and  a leader anytime that|uh as an IT guy ha and and  a leader anytime that
wav-508|an app is down that people are using uh it's for us it's generating revenue but customers have become accustomed to it. You just know you're having a bad day|an app is down that people are using uh it's for us it's generating revenue but customers have become accustomed to it. You just know you're having a bad day
wav-512|yeah a bad week and everybody will remind you and because safaricom we are 40 million customers|yeah a bad week and everybody will remind you and because safaricom we are 40 million customers
wav-513|yeah a bad week and everybody will remind you and because safaricom we are 40 million customers|yeah a bad week and everybody will remind you and because safaricom we are 40 million customers
wav-514|uh 30 million active on Mpesa. You can imagine anytime we have an IT issue 60 million Mpesa transactions a day|uh 30 million active on Mpesa. You can imagine anytime we have an IT issue 60 million Mpesa transactions a day
wav-517|so even in an hour having a downtime you're talking about several hundred thousands going into millions of|so even in an hour having a downtime you're talking about several hundred thousands going into millions of
wav-521|potential complaints. So one of the things we said on this app and I remember in one of the last incidents i dealt I told the team why are we not|potential complaints. So one of the things we said on this app and I remember in one of the last incidents i dealt I told the team why are we not
wav-525|building this thing ourselves. They said you know George we can. And they built the safaricom app. And currently it's the highest rated app on stores. It's on both ios and android|building this thing ourselves. They said you know George we can. And they built the safaricom app. And currently it's the highest rated app on stores. It's on both ios and android
wav-528|And they built the safaricom app. And currently it's the highest rated app on stores.|And they built the safaricom app. And currently it's the highest rated app on stores.
wav-530|Fully built here in Kenya. We terminated the contract with the|Fully built here in Kenya. We terminated the contract with the
wav-534|foreign vendor and now the team take a lot of pride when they walk around saying you know what|foreign vendor and now the team take a lot of pride when they walk around saying you know what
wav-540|could you consider doing this on the app?. We're able to just walk out of here and talk to the team and say hey there's a brilliant idea I just picked up.  And we can take it. Now we have people talking to us about|could you consider doing this on the app?. We're able to just walk out of here and talk to the team and say hey there's a brilliant idea I just picked up.  And we can take it. Now we have people talking to us about
wav-542|We're able to just walk out of here and talk to the team and say hey there's a brilliant idea I just picked up.  And we can take it. Now we have|We're able to just walk out of here and talk to the team and say hey there's a brilliant idea I just picked up.  And we can take it. Now we have
wav-547|that's a conversation. Can we take the safaricom app into safaricom Ethiopia?|that's a conversation. Can we take the safaricom app into safaricom Ethiopia?
wav-551|how we look at our lipa mdogo proposition that looks to to bridge the digital divide. We partnered with Google. Google did android did a small part of it but it was fully built by our teams. Now that enables somebody to have a smartphone|how we look at our lipa mdogo proposition that looks to to bridge the digital divide. We partnered with Google. Google did android did a small part of it but it was fully built by our teams. Now that enables somebody to have a smartphone
wav-554|to to bridge the digital divide. We partnered with Google. Google did android did a small part of it|to to bridge the digital divide. We partnered with Google. Google did android did a small part of it
wav-557|for as little as 500 shillings deposit and paying about 20 shillings a day. Never been done before!|for as little as 500 shillings deposit and paying about 20 shillings a day. Never been done before!
wav-561|in terms of breaking up payments like that for a smartphone daily because uh|in terms of breaking up payments like that for a smartphone daily because uh
wav-564|the way we operate many times in kenya the cadre of customers you're used to buying the five bob kimbo. Instead of expecting somebody to have 3000 shillings at the end of the month  them to 10 bob 20 bob each day|the way we operate many times in kenya the cadre of customers you're used to buying the five bob kimbo. Instead of expecting somebody to have 3000 shillings at the end of the month  them to 10 bob 20 bob each day
wav-565|the way we operate many times in kenya the cadre of customers you're used to buying the five bob kimbo. Instead of expecting somebody to have 3000 shillings at the end of the month  them to 10 bob 20 bob each day|the way we operate many times in kenya the cadre of customers you're used to buying the five bob kimbo. Instead of expecting somebody to have 3000 shillings at the end of the month  them to 10 bob 20 bob each day
wav-566|and as part of it they're also getting data and voice and other services that entire solution was built|and as part of it they're also getting data and voice and other services that entire solution was built
wav-574|Many times yes if we look at it whether we're talking vertical or horizontal integration sorry about student of management|Many times yes if we look at it whether we're talking vertical or horizontal integration sorry about student of management
wav-575|Many times yes if we look at it whether we're talking vertical or horizontal integration sorry about student of management|Many times yes if we look at it whether we're talking vertical or horizontal integration sorry about student of management
wav-576|Sometimes you say this is so critical to me I want to produce it myself and I can be dependent on someone will they give me as much of it|Sometimes you say this is so critical to me I want to produce it myself and I can be dependent on someone will they give me as much of it
wav-581|we're also building the competencies we need to have internally we've taken about 120 to 280 of our own people through a program|we're also building the competencies we need to have internally we've taken about 120 to 280 of our own people through a program
wav-586|that we've built in partnership now we're talking about can we do a thousand|that we've built in partnership now we're talking about can we do a thousand
wav-593|opportunity is big. We see that the competencies are there and all the pieces. Because we also like to do things with excellence|opportunity is big. We see that the competencies are there and all the pieces. Because we also like to do things with excellence
wav-595|We see that the competencies are there and all the pieces. Because we also like to do things with excellence|We see that the competencies are there and all the pieces. Because we also like to do things with excellence
wav-597|so I do believe that that's a conversation that we cannot put under the carpet|so I do believe that that's a conversation that we cannot put under the carpet
wav-600|One of the things we did recently and I don't know if you saw my hoodie was launched the safaricom engineering community|One of the things we did recently and I don't know if you saw my hoodie was launched the safaricom engineering community
wav-604|uh decode was the name of the summit now we are starting to bring developers|uh decode was the name of the summit now we are starting to bring developers
wav-607|across the country first we are organizing our own developers and saying other guys you can join us so and|across the country first we are organizing our own developers and saying other guys you can join us so and
wav-609|first we are organizing our own developers and saying other guys you can join us so|first we are organizing our own developers and saying other guys you can join us so
wav-611|how do we have all these people into one platform so that i'm looking to get that ux ui I hope you remember experience|how do we have all these people into one platform so that i'm looking to get that ux ui I hope you remember experience
wav-613|sub-community of a hundred people. So instead of advertising and probably having to get someone from|sub-community of a hundred people. So instead of advertising and probably having to get someone from
wav-619|even outside the country I know that these 100 people in part of the community are available|even outside the country I know that these 100 people in part of the community are available
wav-622|these these building blocks are going somewhere so. You have the the digital academy|these these building blocks are going somewhere so. You have the the digital academy
wav-629|all of a sudden there is something that we're starting to put together |all of a sudden there is something that we're starting to put together that would then link up to
wav-636|and you say okay can I match it? at the time|and you say okay can I match it? at the time
wav-640|Initially we were not able to match it and so we we had to lose a lot of good people |Initially we were not able to match it and so we we had to lose a lot of good people
wav-643|now the other thing they had was an incentive that if you recommend somebody|now the other thing they had was an incentive that if you recommend somebody
wav-646|and they join you get I think around three thousand dollars. So again you have this young|and they join you get I think around three thousand dollars. So again you have this young
wav-650|if they recommend four people from last year so so I .Every cloud has a silver lining and i always believe when you face a challenge it's an opportunity to innovate|if they recommend four people from last year so so I .Every cloud has a silver lining and i always believe when you face a challenge it's an opportunity to innovate
wav-653|so I .Every cloud has a silver lining and i always believe when you face a challenge it's an opportunity to innovate|so I .Every cloud has a silver lining and i always believe when you face a challenge it's an opportunity to innovate
wav-654|And you can innovate also on the hr side.So we came up with something called the contribution model.|And you can innovate also on the hr side.So we came up with something called the contribution model.
wav-657|where you may be all of the same uh. You've been trained the same|where you may be all of the same uh. You've been trained the same
wav-660|what you are able to deliver on the job for example I might say this show is|what you are able to deliver on the job for example I might say this show is
wav-667|this show brings a lot more viewers it's a lot more innovative so the pay for the people|this show brings a lot more viewers it's a lot more innovative so the pay for the people
wav-671|on this show is higher than another show. Somebody could actually be at this|on this show is higher than another show. Somebody could actually be at this
wav-675|uh level here uh maybe a developer but should be paid like a director|uh level here uh maybe a developer but should be paid like a director
wav-685|and gradually we began adjusting pay and the organization has continued to do it. But|and gradually we began adjusting pay and the organization has continued to do it. But
wav-687|we did have to make a business case. We did need to do the research somebody has to do the hard work|we did have to make a business case. We did need to do the research somebody has to do the hard work
wav-690|and working together with our HR team we got a lot of buy in. Some of the other things is|and working together with our HR team we got a lot of buy in. Some of the other things is
wav-693|you know what type of machines do people want to use they want macbooks they want noise cancellation headsets|you know what type of machines do people want to use they want macbooks they want noise cancellation headsets
wav-696|for a developer who sees that the only way for me to grow is to become a senior manager|for a developer who sees that the only way for me to grow is to become a senior manager
wav-699|head of department director. You're like okay why am I staying here yes i'll probably never reach George's level|head of department director. You're like okay why am i staying here yes i'll probably never reach George's level
wav-700|head of department director. You're like okay why am I staying here yes i'll probably never reach George's level|head of department director. You're like okay why am I staying here yes i'll probably never reach George's level
wav-701|or I have no desire to deal with the people management and other things George deals with me I just want to code and I'm very good at it right and you could imagine probably the developer who was sending|or I have no desire to deal with the people management and other things George deals with me I just want to code and I'm very good at it right and you could imagine probably the developer who was sending
wav-704|deals with me I just want to code and I'm very good at it right and you could imagine probably the developer who was sending|deals with me I just want to code and I'm very good at it right and you could imagine probably the developer who was sending
wav-705|uh the developers who are writing code to send people into space they're paid probably very very well so we're saying you contribute and we're going to pay you|uh the developers who are writing code to send people into space they're paid probably very very well so we're saying you contribute and we're going to pay you
wav-708|You don't need to see only management as the leader as their growth trajectory yes we can give you a craft what we call a craft|You don't need to see only management as the leader as their growth trajectory yes we can give you a craft what we call a craft
wav-710|as the leader as their growth trajectory yes we can give you a craft|as the leader as their growth trajectory yes we can give you a craft
wav-712|and we'll talk about. I'll give a quick example. It's a difference between somebody|and we'll talk about. I'll give a quick example. It's a difference between somebody
wav-715|who can make an egg for themselves and somebody who is able to make creme brulee or something very good. Start at the initial level|who can make an egg for themselves and somebody who is able to make creme brulee or something very good. Start at the initial level
wav-722|maybe even some people can't make an egg you can cut a fruit then maybe you can make an egg then you move to the fact that you can host a few guests in there like what you've served is palatable yes then you say I can host probably a hundred people then you can work at a|maybe even some people can't make an egg you can cut a fruit then maybe you can make an egg then you move to the fact that you can host a few guests in there like what you've served is palatable yes then you say I can host probably a hundred people then you can work at a
wav-724|then you move to the fact that you can host a few guests in there like what you've served is palatable yes then you say I can host probably a hundred people then you can work at a|then you move to the fact that you can host a few guests in there like what you've served is palatable yes then you say I can host probably a hundred people then you can work at a
wav-725|good restaurant and then eventually you can write a recipe. Now the diff there's a big difference between that person|good restaurant and then eventually you can write a recipe. Now the diff there's a big difference between that person
wav-728|who is writing a recipe and the one who is just a good chef at a restaurant so that's how we built the craft for each and one of these disciplines|who is writing a recipe and the one who is just a good chef at a restaurant so that's how we built the craft for each and one of these disciplines
wav-732|and so uh moving from what you'd say uh practitioner professional level all the way to expert and master|and so uh moving from what you'd say uh practitioner professional level all the way to expert and master
wav-735|and now we are resolving the pay uh differences and adding more incentives and we've it's been received|and now we are resolving the pay uh differences and adding more incentives and we've it's been received
wav-740|uh very positively i can imagine. And given the platform we hold on our skill|uh very positively i can imagine. And given the platform we hold on our skill
wav-744|When we called the industry players together to look at talent they came and all of a sudden this pool of a thousand that we're training |When we called the industry players together to look at talent they came and all of a sudden this pool of a thousand that we're training
wav-748|they're not for safaricom they're for all of us if we get fifteen thousand they're for all of us|they're not for safaricom they're for all of us if we get fifteen thousand they're for all of us
wav-752|and they can move between this organization and we're building a micro site where you can just go see anybody|and they can move between this organization and we're building a micro site where you can just go see anybody
wav-759|pulling in investors like mastercard foundation who are saying they're willing to trade even x million people in africa|pulling in investors like mastercard foundation who are saying they're willing to trade even x million people in africa
wav-762|in data science at no cost at their own investment so how do we get these people they go they get the training we put them there and then their skill set|in data science at no cost at their own investment so how do we get these people they go they get the training we put them there and then their skill set
wav-765|so how do we get these people they go they get the training we put them there and then their skill set|so how do we get these people they go they get the training we put them there and then their skill set
wav-766|not for an organization but for the industry because ultimately we need to go grow the industry|not for an organization but for the industry because ultimately we need to go grow the industry
wav-770|i'm asking myself of the 6.3 trillion by 2023 that will be|i'm asking myself of the 6.3 trillion by 2023 that will be
wav-778|in kenya absolutely and i've been so excited like we work a lot with aws we host a lot of our solutions on|in kenya absolutely and i've been so excited like we work a lot with aws we host a lot of our solutions on
wav-783|on their cloud we now have a number of engineers from safaricom at aws|on their cloud we now have a number of engineers from safaricom at aws
wav-787|we're able to have very different conversations they're also able to explain to aws|we're able to have very different conversations they're also able to explain to aws
wav-790|why safaricom is so critical why you can't have mpesa down for five minutes|why safaricom is so critical why you can't have mpesa down for five minutes
wav-794|so you then see the relationships changing and true enough the fact|so you then see the relationships changing and true enough the fact
wav-798|that so many people from india are actually rising in big|that so many people from india are actually rising in big
wav-802|tech shows that they are willing to do some export but also the people in those organizations i've been happy at my level when i meet senior people|tech shows that they are willing to do some export but also the people in those organizations i've been happy at my level when i meet senior people
wav-804|export but also the people in those organizations i've been happy at my level when i meet senior|export but also the people in those organizations i've been happy at my level when i meet senior
wav-806|they're like you know what george the engineers we had for safaricom are fantastic they're smart|they're like you know what george the engineers we had for safaricom are fantastic they're smart
wav-809|and therefore you're now seeing even some of those bigger tech companies as they're looking at talent|and therefore you're now seeing even some of those bigger tech companies as they're looking at talent
wav-817|talent from from kenya and so you'll start to see canyons maybe it might start in|talent from from kenya and so you'll start to see canyons maybe it might start in
